Name,2021
"Global plastic trade",1184002468
China,3363835100
United States of America,1754300400
Germany,1631931100
Netherlands,836511794
Japan,756031679
"China‚ Hong Kong SAR",669903057
"Korea‚ Republic of",644400368
Italy,610284422
France,584767563
Belgium,545283527
Canada,507614635
Mexico,494764505
Russian Federation,493820000
United Kingdom,468177245
